,date,total_conversions,total_impressions,total_cost,total_conversion_rev,rev_per_1000_impression,cost_per_1000_impression,impressions_1_conversion,referrals_1_conversion
39,2017-12-10,62,1390011,1715.2199999999616,3751.0,2.698539795728235,1.2339614578589388,22419.532258064515,269.35483870967744
40,2017-12-11,40,1224206,1540.619999999969,2420.0,1.9767914877071342,1.2584646701616957,30605.15,358.1
41,2017-12-12,32,983584,1281.5399999999727,1936.0,1.9683118066174317,1.3029288805022983,30737.0,340.09375
42,2017-12-13,31,1019397,1336.6399999999794,1875.5,1.839813144437349,1.311206526995841,32883.77419354839,304.7741935483871
43,2017-12-14,38,1212068,1348.7899999999736,2299.0,1.8967582676879515,1.1128006019464036,31896.526315789473,347.6842105263158
44,2017-12-15,36,1114063,1387.5299999999747,2178.0,1.9550061352006125,1.2454681647267476,30946.194444444445,337.19444444444446
45,2017-12-16,56,916676,1175.5999999999806,3388.0,3.6959623683831584,1.2824596695015258,16369.214285714286,203.53571428571428
46,2017-12-17,38,897902,1152.0599999999818,2299.0,2.5604130517584323,1.2830576165327414,23629.0,314.44736842105266
47,2017-12-18,25,860679,1081.4699999999855,1512.5,1.7573334541681624,1.2565311806143584,34427.16,384.6
48,2017-12-19,20,869517,1161.2099999999793,1210.0,1.391577162953686,1.3354655515648106,43475.85,505.55
49,2017-12-20,52,1287909,1950.2799999999534,3146.0,2.4427191672703583,1.5142995351379276,24767.48076923077,265.09615384615387
50,2017-12-21,26,891558,1224.3999999999746,1573.0,1.7643271666004903,1.3733262446189418,34290.692307692305,400.96153846153845
51,2017-12-22,30,1214775,1426.1899999999664,1815.0,1.494103846391307,1.1740363441789357,40492.5,447.1
52,2017-12-23,39,938757,1328.769999999971,2359.5,2.5134299930652984,1.4154568221594843,24070.69230769231,330.8205128205128
53,2017-12-24,28,794928,1055.4599999999796,1694.0,2.131010607249965,1.3277428899220804,28390.285714285714,352.42857142857144
54,2017-12-25,31,872278,1202.0999999999713,1875.5,2.1501172791243155,1.3781156924741553,28138.0,322.741935483871
55,2017-12-26,28,820275,1185.9599999999748,1694.0,2.0651610740300512,1.4458078083569228,29295.535714285714,323.9642857142857
56,2017-12-27,38,1042553,1445.2399999999666,2299.0,2.205163670336184,1.386250866862372,27435.605263157893,350.5
57,2017-12-28,46,1086911,1631.799999999955,2783.0,2.5604672323676914,1.5013188752344535,23628.5,310.2173913043478
58,2017-12-29,53,1346619,1806.8099999999606,3206.5,2.381148639667196,1.3417380862738164,25407.905660377357,325.66037735849056
59,2017-12-30,40,925035,1217.6099999999717,2420.0,2.6161172279967784,1.3162853297442494,23125.875,308.425
60,2017-12-31,42,989302,1509.1799999999648,2541.0,2.5684775730767755,1.5254997968264137,23554.809523809523,279.8095238095238
